osm_id,latitude,longitude,name,type
525228148,46.17533,11.220294,Famiglia Cooperativa,alimentari
76788043,46.224065,11.312398,Linard,bar
97554072,46.175317,11.220597,Bar Vico,bar
122919173,46.16151,11.303131,TORREFAZIONE TRIVENETA,prodottitipici
110448041,46.145589,11.201257,Nord Salotto ,casalinghi
1183435147,46.142534,11.195582,FARMACIA DR.SSA CREMONESI (ALBIANO),farmacia
26135723,46.134609,11.249133,Serraia,bar
102219048,46.088699,11.180879,Calzature Molinari,abbigliamento
9201653,46.083337,11.199099,LIDL,alimentari
12135177861,46.194559,11.208489,Happy Ranch Saloon,bar
30076424,46.088502,11.186546,DR.SSA DANILA MATTIVI (CIVEZZANO),dentista
12053617038,46.15909,11.328551,MALGA STRAMAIOLO,agriturismo
927947054,46.133806,11.257112,Bar piccolo paradiso,bar
216511654,46.2173,11.3267,HOTEL TIROL NATURAL IDYLL,hotel
258446708,46.130073,11.244584,Al Bivio,bar
2468231580,46.157135,11.152254,Tabacchino Zangrando,tabacchino
832929590,46.132492,11.246988,Malga Stramaiolo,agriturismo
253309861,46.1811,11.2363,SAVOI MARIA GRAZIA,appartamentovacanze
168154138,46.117138,11.205357,TABACCHI CARESIA SERENA,tabacchino
605427557,46.141688,11.258524,Ioriatti Liliana,alimentari
24761328,46.131337,11.241507,Scuola elementare ,servizimunicipali
1224940106,46.22117,11.315841,MUNICIPIO DI SOVER,servizimunicipali
605430567,46.1325,11.2377,BORTOLOTTI ARMANDO,appartamentovacanze
82604931,46.096076,11.234635,NADIA (BASELGA DI PINE'),parrucchiera
293233391,46.133159,11.245612,Negozio Alles Sport,negoziosport
1219539037,46.143058,11.118222,Gourmet Relais & Maso Franch,bar
126261128,46.144035,11.218902,AL LAGO,ristorante
24756549,46.132016,11.243678,Sport,bar
1188951255,46.098565,11.23632,Tondini Mattia,alimentari
2967453836,46.135142,11.249391,SERGIO,ristorante
1189004621,46.154355,11.309748,BAR GENZIANELLA ,bar
1183435146,46.144957,11.192857,BAR SPORT (ALBIANO),bar
102219048,46.088693,11.180866,Negozio Molinari Sport ,negoziosport
170257060,46.1549,11.286,HOTEL PINETA,hotel
262073964,46.180313,11.32333,BAR AL LAGO DELLE BUSE,bar
42326463,46.176205,11.212296,PALACURLING,stadioghiaccio
269084179,46.131443,11.246644,Lions' Cafè,bar
24766352,46.1436,11.2608,MARZADRI MARIA,appartamentovacanze
528256120,46.1702,11.2148,AGRITUR MASO VAL FRAJA,agriturismo
42178642,46.175676,11.222145,Il forno Holler,alimentari
605427556,46.1494,11.2688,R.T.A. MONTECHIARA,hotel
2468231575,46.156111,11.153293,Bar al Portec,bar
253309861,46.181283,11.23687,MARYALEX (FAVER),parrucchiera
293233391,46.132577,11.244665,Renata Mode,abbigliamento
654054278,46.183138,11.251027,AZIENDA AGRICOLA BARONE A PRATO PAOLO,prodottitipici
26239297,46.157032,11.281,ANDREATTA ROMANO,appartamentovacanze
1245762615,46.160546,11.187662,CASSA RURALE DI GIOVO,banca
216511654,46.2173,11.3267,HOTEL TIROL,centrowellness
26122960,46.133233,11.248433,Villa Anita,bar
9201653,46.083337,11.199099,BASSANO AMERICAN GAME,negozio
253064560,46.188558,11.257594,Menegatti,alimentari
24790155,46.144266,11.194708,Famiglia Cooperativa ,alimentari
259536186,46.140278,11.256389,Giro Dos Alt - Cime Alte,attrazionenaturale
832929590,46.133308,11.24791,Edizioni del Baldo srl,cartoleria-libreria
234348171,46.221526,11.294146,UNICREDITBANCA SPA,banca
42178684,46.17572,11.221987,Macelleria Paolazzi,alimentari
7624789903,46.160981,11.301997,PANETTIERE,alimentari
24766347,46.149296,11.267879,Dalsant Giuseppina & C. Sas,alimentari
603895805,46.168062,11.298557,"AZIENDA AGRICOLA ""LE MANDRE""",prodottitipici
8900599275,46.168085,11.156958,Famiglia coop. Giovo ,alimentari
74772728,46.186375,11.257622,DR. COSIMO DI GERONIMO (SEGONZANO),dentista
258446708,46.130161,11.244665,Casagrande Paolo,casalinghi
126261128,46.145035,11.219358,POSTA DI LONA-LASES,posta
1262852373,46.181111,11.263333,Sentiero di Segonzano,attrazionenaturale
893391491,46.088678,11.181939,INTERNET POINT DI CIVEZZANO,wifi
1187919807,46.149305,11.275168,Bar Spiaggia,bar
259536186,46.14042,11.25674,AL LIDO,pizzeria
123631727,46.2086,11.2691,FASSAN ERMANNO,appartamentovacanze
10857941804,46.134444,11.249167,Giro dei Laghi,attrazionenaturale
2503395889,46.187452,11.258517,POSTA DI SEGONZANO,posta
86967971,46.088567,11.181979,SALONE TEX (CIVEZZANO),parrucchiera
10861840320,46.137857,11.256437,Lago di Serraia,attrazionenaturale
1183435146,46.145197,11.192308,CASSA RURALE LAVIS - VALLE DI CEMBRA,banca
42178042,46.17486,11.220766,"DR. CRISTIANO TOMASI, DR. PAOLO GHENSI e DR. GIACOMO VAROTTO (CEMBRA)",dentista
1091022266,46.175217,11.131275,"AZIENDA AGRICOLA BIOLOGICA ""MOLINO DEI LESSI""",prodottitipici
74772709,46.17018,11.246887,Salone Sonia,parrucchiera
23125354,46.155924,11.153461,Merceria Clementini,serviziperl'abbigliamento-accessori
605434744,46.1485925,11.2607198,GIOVANNINI WALTER,appartamentovacanze
167521032,46.141667,11.218056,Itinerario Lago di Lases - Lago di Santa Colomba,attrazionenaturale
1154520450,46.1776,11.1674,HOTEL FIOR DI BOSCO,hotel
24764904,46.1293,11.2446,ALBERGO RISTORANTE LA SCARDOLA,hotel
1205979358,46.160278,11.294722,MATTIVI FERNANDO,appartamentovacanze
122919173,46.161611,11.303319,FARMACIA DR. MORELLI (BEDOLLO),farmacia
24794532,46.134713,11.249222,Bar Serraia,bar
459250557,46.169799,11.302225,"Bar, tavola calda BAITA ALPINA",bar
24811047,46.1341,11.2438,VILLA COSTALTA,appartamentovacanze
24811049,46.12611,11.243452,CENTRO DELLA SALUTE E BELLEZZA,centrowellness
173057146,46.1583,11.283,ANDREATTA CLAUDIA,appartamentovacanze
261569633,46.1272,11.2466,OSTERIA DEL MAESTRO - Ristorante Albergo Lagorai,ristorante
2468231577,46.156399,11.153215,CASSA RURALE DI GIOVO,banca
1127560594,46.117023,11.205888,INTERNET POINT DI FORNACE,wifi
54175290,46.12445,11.1798,LAGO SANTA COLOMBA,ristorante
832929590,46.133813,11.248421,BRESSANINI IDA (BASELGA DI PINE'),negozio
261569633,46.1272,11.2466,Hotel Lagorai,bar
11641300380,46.175546,11.221989,SALONE TOTALOOK TONDINA (CEMBRA),parrucchiera
293233391,46.132854,11.245256,ARTE E MAGIA DI BATTISTI CRISTINA (BASELGA DI PINE'),negozio
832929590,46.134456,11.248913,SALONE UNISEX (BASELGA DI PINE'),parrucchiera
762510333,46.221571,11.316088,Nones Carla,alimentari
255804057,46.11178,11.172595,B&B LOREDANA,bedbreakfast
832929590,46.134497,11.248991,Broseghini Caterina,tabacchino
227692436,46.098624,11.235974,CA' DEI BOCI - Ristorante Romantik Hotel Posta 1899,ristorante
9201653,46.083337,11.199099,IL DINOSAURO,abbigliamento
253348828,46.181775,11.237608,CASSA RURALE LAVIS - VALLE DI CEMBRA,banca
42178684,46.1763,11.223,NARDON LAURA,appartamentovacanze
274085436,46.094128,11.2339,HOTEL ALLA COMPARSA,hotel
74772742,46.150465,11.222871,AUTOFFICINA LASES DI TURRI RITA & C (LONA-LASES),automoto
201329839,46.2225,11.2677,MASO ZEPP,appartamentovacanze
1809408737,46.116742,11.205867,FARMACIA DR.SSA CREMONESI (FORNACE),farmacia
234344074,46.222212,11.293956,L'OST,hotel
116828666,46.143374,11.245858,La capannina,bar
1154520450,46.1776,11.1674,Fior di bosco ,bar
3950221148,46.0627126564057,11.2426722049713,Casagrande Marisa,alimentari
293868274,46.0612311961566,11.2389278411865,Salone Grisenti Lorenza,parrucchiera
1111843220,46.0679383947018,11.2229740619659,Robusti Vanessa,negozio
3951262743,46.0620500986954,11.2429404258728,Magnabosco Gabriella,gioielleria
3952821560,46.0624223231069,11.2427043914795,Bar Commercio,bar
591077806,46.0804201004719,11.5544682741165,Ristorante Carraro,ristorante
391905243,46.0615587586297,11.2432193756104,Macelleria Eccher,alimentari
65608560,46.016217555207,11.2897825241089,Prime Rose Al Belvedere,ristorante
26773480,46.05919133156925,11.249828338623,Castel Pergine,monumento
386840544,46.0463399410206,11.2349796295166,Castel Pergine Est - Area di Servizio,bar
28922411,46.0697918496914,11.2216114997864,Macelleria Eccher,alimentari
5731536318,46.0544859550582,11.4591693878174,Museo Spazi Livio Rossi,museo
11662909745,46.0531904170843,11.2393355369568,Salone New Energy ,parrucchiera
799244269,46.0115681285875,11.3019490242004,Panificio Grisenti,alimentari
85541111,46.054739102607,11.2361598014832,Formica,abbigliamento
1111843220,46.0679383947018,11.2229740619659,Fabrizio srl,negozio
7687845079,46.0626605454132,11.2347972393036,Casa dell'attrezzatura,ferramenta
354933149,46.0114787127063,11.3021421432495,Bar Al Conte,bar
423844092,46.119,11.6881,"Passo Brocon ""Da Sciopo""",ristorante
1111843220,46.0679383947018,11.2229740619659,Video srl,negozio
4215202558,46.0538456354903,11.455682516098,Bar Cusso,bar
1111843220,46.0679383947018,11.2229740619659,Cisalfa Sport,abbigliamento
4217197513,46.0522075748998,11.4502215385437,Fanny Pub,birreria
6591719451,46.0151893502917,11.2646341323853,Villa Ester,ristorante
373734504,46.0641568557691,11.244410276413,Casagrande Massimo,parrucchiera
4046069845,46.0397418315973,11.2353336811066,Folgheraiter Eleonora,tabacchino
65608571,46.0075740782513,11.2923574447632,La Cantina - LevicoLand,pizzeria
106625950,46.0783511756929,11.207857131958,Casapiccola Drink Line,alimentari
4033489971,46.0260664914701,11.2307095527649,Ristorante Mezzolago,ristorante
106406115,46.0611418605994,11.2409019470215,La Bufalina,alimentari
1214884757,46.0676257576055,11.2396681308746,PanCaffè snc,bar
2647941985,46.0696727540531,11.2201952934265,Cimenti Linda,gelateria
388084231,46.0504056521342,11.2568235397339,Baitella Lino,ristorante
