route_id,service_id,trip_id,trip_headsign,direction_id,shape_id,wheelchair_accessible
488,0000000602017091120180607,0002867072017091120180607,S.Ilario Via Monti,0,D338_R5118c_Ritorno_sub1,1
488,0000000592017091120180607,0002867082017091120180607,Corso Bettini Liceo,0,D269_F5126a_Ritorno_sub1,1
488,0000000592017091120180607,0002867092017091120180607,Corso Bettini Liceo,0,D367_R5176_Ritorno_sub2,1
488,0000000662017091120180607,0002867102017091120180607,Corso Bettini Liceo,0,D269_F5126a_Ritorno_sub1,1
488,0000000592017091120180607,0002867112017091120180607,Via Manzoni Via Paoli,0,D341_R5120a_Ritorno_sub1,1
490,0000000602017091120180607,0002867122017091120180607,Corso Rosmini Posta,0,D503_R5E259_sub1,2
490,0000000592017091120180607,0002867132017091120180607,Piazzale S.Giorgio Ovest,0,D371_R5209_Andata_PRINCIPALE_sub2,2
490,0000000592017091120180607,0002867142017091120180607,Via Zigherane,0,D28_C5221_sub1,2
490,0000000592017091120180607,0002867152017091120180607,Costa Capolinea,1,D30_C5224_sub2,2
512,0000000602017091120180607,0002867162017091120180607,Noriglio Scuole Elementari,0,D1059_R5E704_sub2,2
490,0000000672017091120180607,0002867172017091120180607,Noriglio Mon. Ai Caduti,0,D475_R5709_sub2,2
512,0000000592017091120180607,0002867182017091120180607,Moietto,0,D990_C5741a_sub1,2
488,0000000592017091120180607,0002867192017091120180607,Marco,0,D1080_R5131b_Andata_sub1,1
490,0000000592017091120180607,0002867212017091120180607,Costa Capolinea,1,D384_R5252b_Ritorno_sub1,2
512,0000001092017091120180607,0002867222017091120180607,Cisterna Capolinea,0,D990_C5741a_sub1,2
512,0000000592017091120180607,0002867232017091120180607,Toldi,0,D990_C5741a_sub1,2
512,0000000662017091120180607,0002867242017091120180607,Cisterna,0,D992_C5743b_sub2,2
512,0000000592017091120180607,0002867252017091120180607,Corso Rosmini Posta,0,D51_C5731a_sub1,2
512,0000000822017091120180607,0002867262017091120180607,Toldi,0,D1168_C5713c_sub1,2
512,0000000592017091120180607,0002867272017091120180607,Campana Dei Caduti,0,D988_C5738a_sub1,2
512,0000000592017091120180607,0002867282017091120180607,Campana Dei Caduti,0,D989_C5740a_sub1,2
512,0000000592017091120180607,0002867292017091120180607,Corso Rosmini Posta,0,D970_R5744a_Andata_sub2,2
512,0000000592017091120180607,0002867302017091120180607,Corso Rosmini Posta,0,D970_R5744a_Andata_sub2,2
512,0000000592017091120180607,0002867312017091120180607,Campana Dei Caduti,0,D1165_C5708a_sub2,2
512,0000000592017091120180607,0002867322017091120180607,Corso Bettini Liceo,0,D973_C5734b_sub1,2
512,0000000592017091120180607,0002867652017091120180607,Cisterna Capolinea,0,D42_C5711_sub2,2
512,0000000592017091120180607,0002867662017091120180607,Campana Dei Caduti,0,D1165_C5708a_sub2,2
490,0000000602017091120180607,0002867692017091120180607,Piazzale Orsi Ist. Veronesi,0,D383_R5235_Andata_sub2,2
488,0000000672017091120180607,0002867742017091120180607,Pomarolo Chiesa,0,D25_C5103_sub2,1
512,0000000592017091120180607,0002867752017091120180607,Moietto,0,D990_C5741a_sub1,2
488,0000000662017091120180607,0002867762017091120180607,Marco,0,D1076_R5115c_Andata_sub1,1
575,0000000602017091120180607,0002867852017091120180607,Lenzima,0,D1052_R5E331_sub2,1
490,0000000602017091120180607,0002867862017091120180607,Viale Vittoria Scuole Degasperi,0,D448_R5556a_Ritorno_sub2,2
488,0000000592017091120180607,0002867912017091120180607,Marco,0,D1079_R5123c_Andata_sub1,1
496,0000000672017091120180607,0002868072017091120180607,Stazione Fs,0,D999_E5177c_Andata_sub1,1
488,0000000592017091120180607,0002868082017091120180607,Marco,0,D1150_R5617c_Andata_sub2,1
488,0000000662017091120180607,0002868092017091120180607,S.Ilario Via Monti,0,D356_R5158a_Ritorno_sub1,1
490,0000000592017091120180607,0002868262017091120180607,Costa Capolinea,1,D30_C5224_sub2,2
490,0000000592017091120180607,0002868272017091120180607,Costa Capolinea,1,D370_R5204a_Ritorno_via_Zigherane_sub1,2
490,0000000592017091120180607,0002868282017091120180607,Costa Capolinea,1,D30_C5224_sub2,2
490,0000000592017091120180607,0002868292017091120180607,Costa Capolinea,1,D30_C5224_sub2,2
490,0000000592017091120180607,0002868302017091120180607,Via Zigherane,0,D28_C5221_sub1,2
490,0000000592017091120180607,0002868312017091120180607,Piazzale S.Giorgio Ovest,0,D371_R5209_Andata_PRINCIPALE_sub2,2
490,0000000592017091120180607,0002868322017091120180607,Via Zigherane,0,D28_C5221_sub1,2
490,0000000592017091120180607,0002868332017091120180607,Piazzale S.Giorgio Ovest,0,D371_R5209_Andata_PRINCIPALE_sub2,2
490,0000000592017091120180607,0002868342017091120180607,Piazzale S.Giorgio Ovest,0,D371_R5209_Andata_PRINCIPALE_sub2,2
490,0000000822017091120180607,0002868352017091120180607,Piazzale S.Giorgio Ovest,0,D371_R5209_Andata_PRINCIPALE_sub2,2
496,0000000592017091120180607,0002868372017091120180607,Mori Via Don Sturzo,0,D1016_E5651a_Andata_sub1,1
490,0000000592017091120180607,0002868382017091120180607,Costa Capolinea,1,D370_R5204a_Ritorno_via_Zigherane_sub1,2
488,0000000592017091120180607,0002868392017091120180607,Corso Bettini Liceo,0,D269_F5126a_Ritorno_sub1,1
488,0000000592017091120180607,0002868412017091120180607,Marco,0,D997_E5173b_Andata_sub2,1
488,0000000592017091120180607,0002868422017091120180607,Marco,0,D996_E5109a_Andata_via_Zona_Industriale_sub1,1
488,0000000592017091120180607,0002868432017091120180607,Corso Bettini Liceo,0,D269_F5126a_Ritorno_sub1,1
488,0000000662017091120180607,0002868442017091120180607,Marco,0,D1150_R5617c_Andata_sub2,1
488,0000000662017091120180607,0002868452017091120180607,Marco,0,D1082_R5159b_Andata_sub1,1
488,0000000822017091120180607,0002868462017091120180607,Marco,0,D996_E5109a_Andata_via_Zona_Industriale_sub1,1
488,0000000822017091120180607,0002868472017091120180607,Marco,0,D997_E5173b_Andata_sub2,1
488,0000000592017091120180607,0002868482017091120180607,Marco,0,D996_E5109a_Andata_via_Zona_Industriale_sub1,1
488,0000000592017091120180607,0002868492017091120180607,Marco,0,D997_E5173b_Andata_sub2,1
488,0000000592017091120180607,0002868502017091120180607,Marco,0,D997_E5173b_Andata_sub2,1
488,0000000592017091120180607,0002868512017091120180607,Corso Bettini Liceo,0,D269_F5126a_Ritorno_sub1,1
488,0000000592017091120180607,0002868522017091120180607,Corso Bettini Liceo,0,D367_R5176_Ritorno_sub2,1
488,0000000592017091120180607,0002868532017091120180607,Corso Bettini Liceo,0,D367_R5176_Ritorno_sub2,1
488,0000000662017091120180607,0002868582017091120180607,Savignano,0,D23_C5101_sub2,1
496,0000000672017091120180607,0002868592017091120180607,Mori Piazzale Kennedy,0,D463_R5615_Andata_sub2,1
488,0000000592017091120180607,0002868602017091120180607,Marco,0,D1150_R5617c_Andata_sub2,1
488,0000000592017091120180607,0002868612017091120180607,Corso Bettini Liceo,0,D269_F5126a_Ritorno_sub1,1
