id,latitude,longitude,name,type,osm_id
it.trentour.domains.core.PointOfInterest.52af11421512e121e8dd2f5f,46.177994,11.22557,Dalvit Tarcisio,alimentari,97120739
it.trentour.domains.core.PointOfInterest.52af114a1512e121e8dd3ba8,46.136944,11.248333,GATTI CARLA,appartamentovacanze,605440218
it.trentour.domains.core.PointOfInterest.52af11481512e121e8dd3974,46.126021,11.243774,Due camini,bar,42733331
it.trentour.domains.core.PointOfInterest.52af11421512e121e8dd31a6,46.12559,11.248925,ANDREATTA ANDREA (BASELGA DI PINE'),negozio,7001520479
it.trentour.domains.core.PointOfInterest.52af11461512e121e8dd376a,46.2173,11.3267,TIROL,ristorante,216511654
it.trentour.domains.core.PointOfInterest.52af11451512e121e8dd36fe,46.174803,11.221179,AZIENDA AGRICOLA ZANOTELLI ELIO & F.LLI,prodottitipici,522825641
it.trentour.domains.core.PointOfInterest.52af11431512e121e8dd32b3,46.144855,11.193287,POLIAMBULATORIO ALBIANO,servizisanitari,103129729
it.trentour.domains.core.PointOfInterest.52af11461512e121e8dd37a6,46.175185,11.220214,Tabacchi Fadanelli Danilo,tabacchino,522825121
it.trentour.domains.core.PointOfInterest.52af11471512e121e8dd3944,46.144968,11.192928,BAR SPORT,bar,1183435146
it.trentour.domains.core.PointOfInterest.52af11421512e121e8dd307e,46.204703,11.23147,AGRITURISMO DELLA GENS PAOLAZZI,agriturismo,30490250
it.trentour.domains.core.PointOfInterest.52af11441512e121e8dd362a,46.157627,11.154821,INTERNET POINT DI GIOVO,wifi,239008783
it.trentour.domains.core.PointOfInterest.52af11481512e121e8dd39da,46.170105,11.246834,SALONE SONIA (SEGONZANO),parrucchiera,74772709
it.trentour.domains.core.PointOfInterest.52af11491512e121e8dd3b54,46.132765,11.247304,Negozio Jolly ,negoziosport,1732692055
it.trentour.domains.core.PointOfInterest.52af11431512e121e8dd32c8,46.13385,11.246569,Pinetana,gelateria-pasticceria,832929593
it.trentour.domains.core.PointOfInterest.52af11441512e121e8dd3638,46.133657,11.24747,LA VECCHIA SEGHERIA,ristorante,537513269
it.trentour.domains.core.PointOfInterest.52af11431512e121e8dd32ac,46.160929,11.302517,PIZZERIA BAR CENTRALE (BEDOLLO),pizzeria,122919173
it.trentour.domains.core.PointOfInterest.52af114a1512e121e8dd3b9c,46.134401,11.248873,Dallapiccola Sara,abbigliamento,832929590
it.trentour.domains.core.PointOfInterest.52af11491512e121e8dd3b42,46.222707,11.313039,POSTA DI SOVER,posta,253791977
it.trentour.domains.core.PointOfInterest.52af11471512e121e8dd3932,46.147949,11.187904,BAR STELLA,bar,24790156
it.trentour.domains.core.PointOfInterest.52af11421512e121e8dd306b,46.146529,11.202175,Albiangomme,negozio,110448041
it.trentour.domains.core.PointOfInterest.52af11431512e121e8dd31d2,46.187355,11.2584,ALLE PIRAMIDI,ristorante,126273701
it.trentour.domains.core.PointOfInterest.52af11491512e121e8dd3b48,46.17533,11.220294,Famiglia Cooperativa,alimentari,525228148
